branch,stage,id,mode,mae,ssim,lpips
P03-r1,7,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,1,0.09025387465953827,0.6047284603118896,0.20744535326957703
P03-r1,7,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,3,0.09229037165641785,0.57559734582901,0.21299514174461365
P03-r1,7,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,6,0.09816350787878036,0.5043819546699524,0.22804054617881775
P03-r1,8,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,fixed,0.12047415226697922,0.4257400333881378,0.2859041690826416
P03-r1,8,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,1,0.0908387303352356,0.5775063037872314,0.22639977931976318
P03-r1,8,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,3,0.09258058667182922,0.5523152947425842,0.23395957052707672
P03-r1,8,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:8216dd670f1bb3fc39b182eeee4e4d81dd2c78c3b97e0718765311994cd7ade7,6,0.09810400009155273,0.485977441072464,0.24582698941230774
P03-r1,9,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,fixed,0.12254548072814941,0.40891745686531067,0.30787450075149536
P03-r1,9,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,1,0.0944012999534607,0.548331081867218,0.25171178579330444
P03-r1,9,24a259085f3e7460cdf1989788b3dfbd8168582aeb54cdd53c1de52fd360691d:d3bb1a3a2a3f7623a46a99cf54d56628227a8f848a1c59937fe29a8713ca4465,3,0.09570301324129105,0.5264108777046204,0.25652945041656494
