id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_right,1,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,original,face,whole_roi,3,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,original,skin,weighted_three_regions,3,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,original,skin,forehead,3,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_left,3,0.0597667470574379,0.8723326325416565,,0.011464443989098072
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_right,3,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,original,face,whole_roi,6,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,original,skin,weighted_three_regions,6,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,original,skin,forehead,6,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_left,6,0.0597667470574379,0.8723326325416565,,0.011464443989098072
BPS-r2-s1,BPS,2,1,B,B,original,skin,cheek_viewer_right,6,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,previous,face,whole_roi,fixed,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,previous,skin,weighted_three_regions,fixed,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,previous,skin,forehead,fixed,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_left,fixed,0.0597667470574379,0.8723326325416565,,0.011464443989098072
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_right,fixed,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,previous,face,whole_roi,1,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,previous,skin,weighted_three_regions,1,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,previous,skin,forehead,1,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_left,1,0.0597667470574379,0.8723326325416565,,0.011464443989098072
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_right,1,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,previous,face,whole_roi,3,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,previous,skin,weighted_three_regions,3,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,previous,skin,forehead,3,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_left,3,0.0597667470574379,0.8723326325416565,,0.011464443989098072
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_right,3,0.031643908470869064,0.8861503005027771,,0.01015253085643053
BPS-r2-s1,BPS,2,1,B,B,previous,face,whole_roi,6,0.10732369869947433,0.8510516285896301,0.08887295424938202,
BPS-r2-s1,BPS,2,1,B,B,previous,skin,weighted_three_regions,6,0.047607841588118496,0.8365279155398837,,0.012612229478271569
BPS-r2-s1,BPS,2,1,B,B,previous,skin,forehead,6,0.04838655889034271,0.8088929653167725,,0.013890446163713932
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_left,6,0.0597667470574379,0.8723326325416565,,0.011464443989098072
